Sample Volume (ml)	50.052000 
Titrant normality	0.050000 
Equivalent Volume (ml)	NaN 
ANC (eq/L)	NaN 
correlation coefficient	NaN 

Titrant Volume (ml)	pH	F1
0.000000	7.341470	0.000000
0.000000	7.568843	0.000000
0.100000	7.178632	0.000000
0.200000	6.929002	0.000000
0.300000	6.733301	0.000000
0.400000	6.599829	0.000000
0.500000	6.489692	0.000000
0.600000	6.398129	0.000000
0.700000	6.215282	0.000001
0.800000	6.081450	0.000001
0.900000	5.993117	0.000001
1.000000	5.896815	0.000001
1.100000	5.786093	0.000002
1.200000	5.658951	0.000002
1.300000	5.544023	0.000003
1.400000	5.421086	0.000004
1.500000	5.253882	0.000006
1.600000	5.253523	0.000006
1.700000	5.041801	0.000009
1.800000	4.644770	0.000023
1.900000	3.930993	0.000122
2.000000	3.529660	0.000307
