Sample Volume (ml)	50.354000 
Titrant normality	0.050000 
Equivalent Volume (ml)	NaN 
ANC (eq/L)	NaN 
correlation coefficient	NaN 

Titrant Volume (ml)	pH	F1
0.000000	6.740657	0.000000
0.200000	6.601762	0.000000
0.300000	6.417424	0.000000
0.400000	6.196038	0.000001
0.500000	6.011446	0.000001
0.600000	5.826944	0.000002
0.700000	5.607708	0.000003
0.800000	5.377788	0.000004
0.900000	5.056520	0.000009
1.000000	4.425921	0.000038
1.100000	3.703493	0.000202
1.200000	3.426450	0.000384
